2836,6062,15208,807928,4215,29591,23084,174639,0,0
972,321,4045,669221,3193,2281,3812,35742,0,0
8484,3321,73405,1679710,77892,64678,56087,464612,0,0
418,124,1960,231869,1650,1856,6572,10473,51,47
171,51,227,96360,792,730,646,7627,61,27
1082,1170,9279,155984,5736,23368,2995,279312,11,61
1134,747,27283,542142,8027,25967,7299,162803,16,53
5168,1994,90699,2897051,31140,124465,29097,512557,37,90
1022,355,8394,179497,3664,2499,5876,28781,41,84
1933,1794,47335,341288,21615,39356,40628,441661,50,90
1644,1333,3316,193623,3316,25106,9509,107374,43,84
2334,1446,9577,583686,3260,17487,12378,108772,17,83
1849,1090,22151,44902,3629,8824,2198,154694,11,84
9951,3498,64729,733100,37536,128814,43907,135663,44,88
11021,2475,20126,1026911,12647,74948,26679,154913,54,96
5024,3523,5341,1325248,9260,180015,15203,312009,53,100
1392,913,6726,153619,6124,7086,18125,26860,61,100
3730,836,4546,111999,3664,10388,6234,57475,51,83
672,188,3961,440762,4293,11988,2827,116037,47,63
1524,1030,30167,1345654,14323,17905,32336,164745,61,50
5957,2370,54569,1762694,50780,112970,42193,176394,61,61
1619,792,7435,112510,5125,5526,11384,71299,64,56
3201,490,2798,237735,6563,16676,6891,69871,75,64
2132,967,20415,220985,1557,58405,3073,100550,50,83
411,165,3802,121824,974,910,1713,27795,30,64
824,664,1961,40047,1657,4352,2755,42381,24,63
1678,841,5199,34335,2194,1330,1535,59450,14,51
4001,1835,17710,1338129,11525,12270,19191,202383,35,24
444,295,1222,100053,1106,3576,3060,9115,47,38
2057,799,2697,106660,1718,1022,4835,27008,51,34
2310,613,5382,121325,4566,4758,5396,11841,74,56
1977,768,26675,755442,3042,24544,6096,63881,64,80
11902,2178,49450,1803664,15913,36763,54497,500904,53,66
1808,1974,15175,1772525,6040,3896,9472,52717,57,80
1437,560,4945,818589,1873,7042,2125,36049,38,75
5714,2720,14240,371410,8268,35642,23765,123256,48,63
389,231,7666,1472365,1400,4843,11742,14161,48,63
2091,1297,33805,834502,5093,69087,15409,147443,43,83
8653,1915,14650,1761145,12164,72518,49962,372746,27,78
6150,2277,19585,206448,8080,24264,6946,68059,35,84
684,266,9512,397950,1792,5688,10700,27139,34,88
1353,1231,7153,717594,6847,19762,11616,27593,56,88
13926,10107,43155,1656010,41674,174548,82774,455354,66,97
593,209,3923,1274471,1573,7416,1678,1930,74,100
3819,1745,39854,941812,31487,64721,12217,124570,88,100
3664,2491,136710,1838552,21256,85235,15340,794080,66,87
730,732,5799,56626,2936,5756,2384,61388,61,69
1365,473,5290,93409,1320,6793,5230,7373,54,60
3195,2020,25470,749211,8706,30604,9817,29482,50,67
6029,6570,34781,238399,16886,97213,22549,132665,63,80
3346,2057,41240,139884,16255,8945,18779,36825,81,96
725,375,3847,462161,1903,10100,2698,21939,78,91
3269,2046,5336,207338,4107,4279,9057,28920,80,74
6320,1179,11006,35883,9660,14025,12792,41325,90,64
1093,1287,23029,587268,7696,6815,19717,78912,78,54
