1,1,1,7,1,0,0,2,0,0
413,1105,7950,375794,913,6792,3395,7094,0,0
389,2931,2149,300688,918,4551,1270,29963,0,0
354,700,5596,240268,522,3778,2193,81728,0,0
214,740,817,464385,569,1928,1524,45616,0,0
2614,10068,85560,510895,11451,193683,10055,166055,53,51
7137,12048,51850,156114,19702,11176,40356,354177,53,51
24218,45612,187148,1075819,152997,249066,293945,1151121,53,51
11086,18013,27094,1136213,30198,42913,370468,545333,53,51
8690,21673,37950,290510,29004,117167,398235,1114570,53,51
14809,45684,16928,499055,68202,283691,567269,582570,53,51
13144,37909,49195,562601,45640,40722,612515,1438102,53,51
16525,36241,87674,587200,76125,392005,523019,412018,53,51
6478,21662,37478,683571,35388,995543,392827,356455,53,51
21282,13406,137626,1450801,67884,132241,306011,1868474,53,51
4731,16605,135657,887547,27400,366625,79279,420179,67,61
3653,3241,11211,638406,8262,15638,14844,147427,91,60
1210,1687,15441,634874,3101,38669,3651,128299,100,63
585,555,3383,144163,1054,3323,528,34378,100,51
6762,9082,153893,1549329,26736,66492,4888,297171,100,60
4648,4581,98952,1479107,18116,204282,22515,252906,100,78
318,614,4397,225360,1451,12824,1910,21044,100,78
6373,10177,70834,936678,19573,150360,16270,691433,91,75
2053,554,6218,399680,7234,52803,4130,131989,93,67
552,342,2772,117649,773,7757,389,37240,94,57
2677,598,18227,261946,5766,80284,2009,107987,93,56
3099,1396,28968,543088,7100,54147,5945,124158,100,61
418,239,6357,68342,2549,32714,1482,11365,100,70
512,204,3727,82541,1787,12563,1300,40819,100,74
5231,3410,176077,1425912,20857,730710,4401,183046,100,84
168,418,2874,134103,858,6740,1599,25468,100,81
3608,4296,31541,675237,11370,461779,8571,276696,83,78
1891,755,9788,674591,8440,44893,7578,97554,90,80
11141,3064,20071,601509,15764,199970,32008,378673,93,66
619,1104,1752,92597,2713,72367,1728,161589,81,67
513,765,8212,132547,777,11354,1174,22566,81,63
2621,3094,17951,1274103,5062,98913,3410,31896,74,75
176,581,5374,216864,717,3075,2830,82338,56,66
