1,1,0,1,1,1,0,0,0,0
1,0,1,29,1,0,3,1,0,0
2,0,0,10,3,0,2,1,0,0
251,940,940,38006,461,447,1065,2517,0,0
16992,12940,27881,716056,47197,178236,44897,1279455,0,0
2878,1664,19193,831899,2313,22055,3859,170981,0,0
1148,1587,5066,279996,2992,37529,5402,100646,0,0
1624,1998,15101,1011698,3670,7641,6697,73342,0,0
1439,4207,7217,1500422,6333,1842,2912,108184,0,0
872,1689,16290,523604,13955,4338,8079,61253,0,0
3908,11406,45519,828195,22428,70311,11879,255794,0,0
9655,12372,68180,2271707,12938,97010,14342,267844,0,0
748,1505,6586,343907,997,25695,1313,94432,0,0
889,1793,5519,1014129,759,11927,2271,35471,0,0
770,1281,3605,641336,899,16790,1472,19061,0,0
2708,5990,16729,560751,8369,85549,9295,231180,0,0
3263,7278,25373,1619709,10212,52815,5949,87252,0,0
2998,7121,32455,2004633,4324,19163,8569,216352,0,0
7729,19345,7063,641003,7908,47465,16095,499293,0,0
5000,9780,3700,367904,4197,66812,7855,155395,0,0
67829,58245,215029,2443940,61028,137911,230018,1138234,0,0
12862,26686,46450,1170655,16195,41341,25223,955266,0,0
1127,1345,4830,414724,882,5373,2193,41435,34,44
1775,5765,11607,331711,4612,38233,5790,137053,61,75
131,122,1271,137940,264,997,770,8458,66,81
9974,15654,6237,528166,9777,29370,15328,537712,66,63
4166,3959,17693,699012,5733,15337,9444,71350,66,57
1517,4836,6667,692339,1765,16922,3404,95899,51,53
4369,3026,6221,441469,4188,2945,9949,44810,69,47
1787,1566,3137,434263,2661,4528,3929,124537,69,44
26809,17565,13762,2230670,36142,41443,14599,384580,69,27
7459,3351,3536,251819,9285,54849,17591,196144,87,30
2743,3784,16675,267120,5293,20385,4227,133118,67,38
19156,7824,31783,900266,19648,14665,24622,49515,97,67
5697,958,10192,213943,3255,1942,12090,42660,80,75
11648,14966,25347,1760739,8651,11819,7383,131193,77,75
1936,3016,8954,243920,6668,803,4266,93793,81,61
2508,2781,10674,94462,2060,19285,5587,11750,63,67
5434,1283,14317,1221489,7275,10520,3947,93289,63,67
7748,6444,20588,1153286,6951,23034,11307,273405,13,66
3962,4397,13845,243556,3541,57281,1751,151349,8,57
704,719,1448,186011,931,2294,679,56153,4,48
985,720,950,172527,1869,5718,751,63239,1,26
2386,2891,13856,212979,2158,716,1784,48214,8,35
9707,6228,16390,2050739,30592,120903,54734,214224,34,35
459,987,334,155310,596,243,987,30304,35,29
6341,8816,29001,1876577,11304,30495,8675,697405,27,34
10249,10486,53228,248882,16446,27458,23419,164524,38,38
11240,11222,64599,1376843,15739,32882,6298,246882,29,38
2877,3141,4298,1313587,4792,5953,4220,175050,35,48
2544,1693,7781,1983002,3872,4316,1496,26341,61,61
15193,9358,34336,1311508,14699,16460,13662,233721,56,54
556,817,1018,106818,1439,2049,327,27556,56,43
2259,1738,2329,1225923,3063,9871,6953,61995,61,53
1683,1706,11434,230622,1993,2758,1627,89217,38,44
1095,634,928,169071,719,3067,1078,12576,35,48
1284,2481,17172,114908,2510,8621,3927,20346,37,69
10060,6205,20852,331368,26328,44229,9860,353692,43,70
12044,12196,60719,1522454,21938,9417,14861,260972,60,75
6112,1616,5578,766831,15126,8457,15248,88462,78,66
42052,20526,50338,2092674,18323,141974,49969,509996,67,63
5792,8233,8382,2884941,9058,83432,6073,151207,57,94
10068,7232,49337,2115802,15095,45878,5867,287699,53,93
12713,6565,12093,944740,16210,107871,10517,124963,66,100
767,1473,17502,324879,3891,8525,4827,56214,51,90
6324,5752,82606,1059254,8443,73281,6445,306968,41,90
3793,1557,15181,424112,2437,550,4441,212766,23,77
15127,5803,19439,2509115,16093,11785,5408,153311,26,63
7326,7061,12463,655260,13073,43423,19173,151513,30,60
3225,1944,1891,72694,5588,9092,3543,14289,64,60
2949,1672,6296,121036,1953,10779,1110,21613,87,81
2170,1937,5431,133991,2698,10035,3311,59275,74,83
2074,1905,28351,267684,3932,6908,5731,79190,66,87
1158,1335,14003,148143,2607,10454,3419,13986,61,100
1892,1376,11890,72735,1454,5665,1387,15283,64,100
7539,6164,32446,506448,15707,136447,10247,29733,75,100
11038,4934,22666,668982,15483,40772,5903,47868,80,100
14121,3423,140401,126764,15175,32058,7286,19540,81,100
7520,7142,129517,295473,23078,32786,36005,183221,88,100
1723,2052,4011,56921,3901,10232,1581,14305,97,94
20872,2899,15144,16616,18755,60999,12453,36559,100,94
2695,1617,6843,93070,3698,10092,2429,28286,100,78
8841,2652,8804,789653,9293,35422,2385,32431,100,81
12443,4683,59765,696496,15360,42941,15233,47930,100,87
9815,5033,7119,102964,9604,40552,9146,62932,93,81
13114,7202,117888,1262263,7379,71227,7896,33757,81,97
4745,805,18433,192429,5314,6250,2983,10500,84,100
5451,3140,54837,254558,16882,19060,6671,137702,81,93
8718,3781,58861,230988,18727,2274,18063,124986,84,90
5697,3610,38162,2358682,22198,30869,30417,149607,97,69
8284,1567,6695,683371,6663,45316,6936,74967,83,63
12742,9830,20379,4052589,14848,19930,34430,326639,74,51
6729,4968,18609,1117375,31493,125002,22251,259722,69,53
8594,5633,32292,658305,9650,48684,8715,201140,54,53
23518,3802,9738,380853,14262,26423,8706,140802,61,44
24123,5495,20681,1106044,17339,165978,14802,44690,69,69
8311,14041,23831,762468,13627,37777,11943,166080,64,67
3555,1970,8848,196146,4230,8406,1613,30832,80,69
9757,2593,22018,275816,8702,100838,12388,83635,70,83
19347,5114,65304,68136,11753,100094,8124,10460,69,88
9714,4670,22406,174605,18014,12097,6259,74083,81,87
1468,1273,5646,153611,2127,7503,3360,14112,78,87
5701,1229,24007,915444,5072,2027,3310,26086,88,81
4668,3925,28714,207512,10306,32102,40816,168517,83,57
2247,2892,4390,241373,1456,4519,2679,13540,69,61
2249,1059,19775,124425,3501,5181,5395,13351,70,64
2753,2068,4023,133729,4475,13248,3998,43589,67,60
548,407,1691,184466,775,273,3202,6425,77,57
4114,1521,8366,101479,5689,18805,3924,52727,78,56
807,793,4766,33330,4013,3981,3416,21586,87,47
4081,4318,46110,23509,9163,34035,14968,9676,91,60
1659,3109,5066,93622,2228,10659,3527,29565,83,66
11853,4561,80934,720033,17074,90409,21051,276366,74,67
987,1291,11288,113039,2114,7396,1678,33041,56,74
4635,2390,98320,29757,11533,38941,4807,19884,51,77
9085,3866,151018,661026,8783,17040,19835,40046,50,88
7256,8247,71321,8142,10459,50975,12165,25908,56,100
8175,1882,59941,6241,11493,67780,13553,7276,66,100
9063,2001,170703,14702,16154,43422,7706,7735,66,100
12588,4029,177439,119989,14272,30216,12125,32887,69,100
7611,4905,32137,5919,10830,43216,1836,13609,80,100
6025,4455,17980,322961,9240,23255,10314,61379,83,100
6258,4295,11593,522270,10861,35766,5086,28046,91,91
7536,7085,87651,829523,7931,13016,13794,72598,90,83
5664,6194,7250,141681,16213,105484,6277,91311,83,75
7116,2762,71406,653159,21860,162100,17290,50443,77,83
12729,2273,44457,63830,20973,11559,4541,11467,97,84
1926,2055,7391,596986,3933,22955,2452,74643,84,78
8311,4023,29544,1277277,13756,42690,11867,43284,80,81
19391,5591,40900,496291,23828,18874,15065,371293,74,60
12785,3399,46154,5869,11546,67024,8733,19567,56,64
10080,3359,23819,21584,11185,51488,7575,21273,70,78
8368,3767,71020,558225,19552,49721,5079,36555,70,83
6978,3973,44421,9390,7319,2682,13210,14793,83,97
3053,4626,105829,15516,10700,44888,4855,14709,78,100
1264,829,24432,27802,3197,4459,2410,22131,69,97
9765,2750,109008,73137,22596,93867,12976,141508,61,94
1765,892,46637,118891,2368,2511,2981,16467,47,97
5701,3734,85552,106866,5969,70543,26396,74171,37,96
12781,6091,181662,1406962,27378,83204,10834,125304,38,100
1960,928,34804,105715,4852,3039,3584,16193,51,97
6015,2349,64586,21827,12204,58612,31838,32985,50,93
7288,8266,42615,32237,8016,79872,14727,13953,61,97
2267,1116,34519,181670,3976,6233,4757,19806,60,96
13409,5260,35462,1278467,17860,147496,28202,130791,54,94
12676,3690,133140,169464,14769,39401,13016,72720,51,94
4431,2523,38715,887307,12580,23552,5761,159521,51,78
21618,3106,155659,15433,20525,30038,23268,13747,57,84
3012,495,5369,74958,3581,15310,2750,47476,54,77
6016,1992,14398,358026,18610,67025,8533,89794,74,84
6887,6904,94425,1102382,12597,11185,19517,124161,81,80
10032,3624,12341,260577,18527,33882,24266,63658,87,66
3728,888,14573,572783,4648,14883,2027,30928,83,66
12439,7203,11036,145225,22276,167643,8080,48476,75,74
10615,8030,110637,5628,15597,91884,8698,44040,77,83
7771,2663,32355,472631,28299,67007,7429,211779,66,81
5006,1240,9924,245118,3620,65833,3520,12776,57,93
2486,685,23601,234449,2615,5614,2398,30239,48,84
7189,4883,69593,436027,10917,46507,15866,13172,51,87
11216,3727,119740,25742,13016,2224,18322,23973,67,100
8304,6796,112067,178008,14151,92451,7173,84914,61,96
5052,7373,41426,22956,23176,42414,20748,51331,66,87
3454,1194,11248,922069,4790,52158,8000,80186,57,84
1636,847,14037,85833,5663,17428,8365,22968,61,78
5833,9347,109675,33191,14537,116939,5128,18527,64,84
5853,6289,145517,25146,10081,33940,15644,11772,50,96
2891,463,5966,259405,1927,9684,2156,14549,57,97
9392,3274,18252,16417,5613,28964,3465,17392,54,100
8744,4007,29689,53209,14883,69745,3574,12930,66,97
2857,1711,6306,40633,1163,29157,3284,5755,57,96
14405,3097,112211,40132,10800,49362,17473,24090,54,100
9051,3990,102667,62020,9800,115828,6419,40887,44,100
10966,1947,13356,18482,18820,13145,18547,3777,54,100
8579,2000,19646,62477,15281,36881,6909,25357,70,90
2546,2638,7223,165048,4412,13436,3698,12803,75,81
9003,2498,23033,23718,13206,60672,14034,19156,84,77
7664,1377,96242,22796,9109,45527,5580,9401,60,94
10357,2883,17135,5548,9605,149780,10589,41863,44,100
5433,13562,113492,17065,17659,52629,9677,4248,43,100
7694,3520,39071,33239,9129,38628,6512,53845,37,100
1315,2207,17940,91747,3170,4794,1857,7572,41,100
3419,1244,7872,146515,2845,37267,1620,26818,24,93
1909,1617,167855,5799,12094,28814,11960,27744,21,97
13422,2728,13668,138090,19010,146059,10776,12801,44,87
785,203,2267,33474,404,8061,472,2277,43,93
2166,676,5172,345808,3098,19703,1698,12938,47,87
5494,3283,64301,44236,10684,22816,20878,95046,35,78
10714,4480,40966,32861,4134,40847,7927,15892,24,77
1026,485,23067,105154,2136,14096,2752,14868,29,74
8140,4330,54009,74386,7083,75420,15151,23676,23,78
12142,3117,61736,177774,6490,31187,13995,128700,14,77
9303,2898,101019,89427,23026,150540,26153,17303,21,78
11778,5564,206276,409731,13667,37303,5176,66624,21,81
12686,1019,176547,2925,16011,126995,11957,20265,34,84
7690,4259,175470,485577,13530,14177,8596,133684,26,78
1537,330,27100,267118,6956,14587,6406,1822,41,78
688,129,6965,135006,859,2345,703,9077,35,81
1529,1694,43511,512454,5185,26292,2509,11938,38,78
1922,408,43507,108458,4845,1560,590,15964,44,81
21501,6213,85542,680707,14210,199412,6967,95313,29,81
2783,3371,11875,622616,9045,20659,8626,81254,35,74
2862,4714,8323,239977,14275,5964,4600,21311,53,56
3076,4033,36074,5350,22126,259661,12848,19309,51,63
8372,3872,73720,583258,12379,45336,15247,284983,48,51
7523,4179,45265,17574,23849,90501,17545,16881,54,64
8955,2628,200127,410724,25810,73007,17015,53997,40,80
5740,1674,36933,185341,43587,49519,8827,116038,51,63
2440,3226,119979,11543,14968,128671,6814,11478,57,84
6682,3759,33602,18132,7220,88713,10344,21976,47,87
14557,2376,29691,26759,14329,241271,9920,42868,40,88
7425,6750,36443,623824,12837,73104,10590,122184,24,90
1741,765,15525,64915,3725,9820,5172,75830,21,67
3833,1740,37561,41517,10558,38276,5097,14567,29,66
9891,3389,60399,2239371,19192,26282,12758,55524,41,56
1911,1401,9062,46401,4369,20133,2477,14994,48,61
1041,1039,2490,116535,4023,6772,5858,31465,60,60
7686,3738,10647,57026,9227,13088,20837,43085,61,44
5226,3102,10202,65150,14671,6618,7200,11638,75,40
2005,995,957,180888,3447,1532,2924,15465,81,21
2419,4326,23958,38961,16464,22584,7217,15158,91,34
9721,3210,5345,8046,10892,1385,26112,18239,100,26
14877,4448,14260,30690,20540,2145,28225,15408,100,23
2631,1153,2335,54721,3644,7500,3272,3817,100,38
11530,3755,12796,93854,19396,23801,16320,27682,100,30
8118,1788,6857,53741,15277,23160,9898,19143,100,48
10721,2593,34640,4715,21092,6171,3622,4458,100,48
3575,1691,3924,10205,15117,18167,19090,16486,97,47
20017,9993,12676,278098,12686,22093,12178,143997,84,38
3740,2219,1431,116978,2255,4799,1880,21736,69,35
10038,5994,7468,1572006,5299,7503,10573,45321,54,23
18829,28152,32719,1397480,39020,10605,13791,658948,34,14
