10045,21141,64419,788537,51572,118039,18610,963202,0,0
16740,10470,44016,1617738,60830,404607,86178,1348342,0,0
4122,6349,44635,2165784,36004,33892,23179,216474,0,0
350,251,792,314931,623,2633,1090,27118,30,30
3522,7455,24452,746908,8272,39225,13309,166214,29,50
266,1679,3128,49974,1632,14351,1565,16321,26,83
1976,6936,22054,285430,5583,12545,9076,124648,34,93
1092,5458,6546,533329,9819,5223,3427,48240,51,69
1036,3895,7051,4242,2078,6592,3885,9352,66,84
1955,3027,2455,10328,3599,7862,1533,5221,87,84
1474,4290,7336,7640,5344,6770,2313,12011,100,100
3373,5747,23860,234051,5936,17120,19091,16018,100,100
1879,3185,5359,3630,4073,6419,4109,10378,100,100
991,1434,26813,7487,3844,10192,4286,18601,97,100
3049,4372,2827,4295,3887,2054,2787,13651,97,100
1716,4096,7021,3524,3289,10583,2325,5605,100,100
445,1070,5099,42308,2120,24603,2034,31821,80,97
996,3627,6416,31718,2013,2108,7184,18244,80,77
1999,1353,6557,8637,2050,14805,2358,8170,67,100
1419,2259,3830,9765,3183,10362,8104,6104,87,93
2316,2814,8104,1988,3410,5118,2624,10055,94,100
1099,1650,9549,3112,2460,37160,3293,5004,90,100
2598,6662,10872,7015,2840,15260,3483,11218,81,100
2576,1183,11429,20121,3146,4898,7135,4513,81,96
1933,3418,11222,9165,2298,27388,1299,23160,63,96
451,668,838,39621,5099,3521,1906,11615,84,66
883,1384,3095,3363,1859,53231,7149,5030,74,78
1805,1701,2395,10245,3020,13136,4339,10140,70,77
3538,4041,5841,7148,4339,11682,3059,3674,93,78
1241,3750,13266,5056,2048,4779,2980,7847,78,96
1906,3043,5610,148748,10552,6736,22983,40616,100,63
977,1859,2599,18683,1534,5001,2809,8982,97,57
2511,3662,6844,4440,3492,12833,5214,13616,88,51
422,368,3976,44747,1361,12155,987,17237,78,47
681,1260,2427,6897,1624,1818,761,7825,74,56
1671,900,5894,27376,6000,3713,4087,21623,81,50
2769,3805,6014,187004,4173,23696,4365,39826,77,47
2530,2339,10417,2323,5254,16326,4440,12239,93,51
2071,7212,6210,7106,2257,15621,2817,6951,84,64
678,247,2648,45849,2218,3329,1468,22980,75,61
469,1343,2974,2901,677,613,881,1165,84,69
950,1468,1964,53415,1833,4271,1407,30588,74,50
279,606,3467,2725,804,3619,1317,6300,69,40
637,5495,9987,28486,3395,6057,3199,18755,74,51
92,316,1667,60862,191,376,1588,5651,51,35
4410,4690,23124,114072,13985,19252,6852,33091,64,50
2960,2546,7846,1819744,8594,32566,12303,239784,57,34
358,430,3081,613830,1699,10171,4949,53650,41,21
5129,1441,20594,1121162,5203,84572,9245,66522,44,38
5556,6493,4346,2899964,9114,16890,16605,165968,29,17
1736,4440,4386,107589,6462,4706,9766,18963,54,23
2972,3226,38378,903450,15808,23273,24289,189484,64,24
